paper_idx,title,n_sentences,comp,suff,rank,mae,rmse,stab,time,cpu_time,repeat_time
1,The hallucination problem of Large Language Models (LLMs) significantly limits t,3,0.023731887340545654,-0.006935596466064453,1.0,0.3394482527264094,0.40641074935659843,1.0,0.7055862999986857,5.609375,0.6786435999868748
2,Resume screening is perceived as a particularly suitable task for LLMs given the,7,0.0018674135208129883,-0.004874885082244873,0.8571428571428573,0.29516470537796785,0.3804589285685453,1.0,10.206734799954575,81.28125,10.162088566653741
3,"If we use LLMs as judges to evaluate the complex decisions of other LLMs, who...",2,0.0735321044921875,0.010199904441833496,0.9999999999999999,0.441072971573222,0.4476526934547271,0.9999999999999999,0.30377619998762384,2.5,0.30104140000185
4,Large language models (LLMs) are transforming human-computer interaction and con,3,0.05499380826950073,0.0005944967269897461,0.5,0.24971436210241235,0.37490890858311055,1.0,0.7386460000416264,5.953125,0.7360652333397107
5,The rapid growth and popularity of large language model (LLM) app stores have cr,4,0.06266641616821289,-0.022564351558685303,0.19999999999999998,0.3222278567827451,0.39941126948461514,1.0,1.5815354000078514,12.71875,1.56999333332836
6,Autonomous agents powered by large language models (LLMs) enable novel use cases,7,0.025381505489349365,-0.026172101497650146,0.42857142857142866,0.29458889118233383,0.36708530002845446,1.0,9.150907300005201,73.15625,9.138020466683278
7,Large Language Models (LLMs) have shown promise in the autonomous driving sector,7,0.014133274555206299,-0.0288122296333313,0.7500000000000002,0.3107597062022921,0.38353453404574606,1.0,10.228254800022114,81.328125,10.270004599995445
8,Large language models (LLMs) can label data faster and cheaper than humans for v,4,0.03383803367614746,-0.021623075008392334,0.7999999999999999,0.35516537967591727,0.41772079488854363,1.0,1.4916356999892741,11.9375,1.4827568333324355
9,Difficult decision-making problems abound in various disciplines and domains. Th,4,-0.00021666288375854492,0.03368896245956421,0.0,0.6296668026321515,0.6473486250683013,1.0,1.8126505000400357,14.453125,1.8139117333533552
10,Recent development in large language models (LLMs) has demonstrated impressive d,4,-0.004144787788391113,0.0060495734214782715,0.6000000000000001,0.44451213181873483,0.49006040260792394,1.0,1.6554575000191107,13.34375,1.6517032000119798
11,While large language models (LLMs) have shown remarkable capability to generate ,5,0.04238766431808472,-0.011454463005065918,0.9999999999999999,0.31280249999413107,0.4022143737785745,0.9999999999999999,2.9138498000102118,23.234375,2.9153610999928787
12,Large language models (LLMs) are being used in data science code generation task,4,0.026467561721801758,-0.007636308670043945,0.7999999999999999,0.33065564429029604,0.40715746366837025,1.0,1.7583633000031114,14.0625,1.7552633999924485
13,Web browsing agents powered by large language models (LLMs) have shown tremendou,7,-0.0015508532524108887,0.0726398229598999,-0.7500000000000002,0.49149866418432486,0.5620341574531538,1.0,11.494263599975966,91.578125,11.48180866666371
14,Effective feedback is essential for fostering students' success in scientific in,4,0.01131516695022583,0.03176116943359375,0.0,0.5249137429093385,0.6073329033943091,1.0,1.4846131000085734,11.75,1.4850739999868285
15,LLM test-time compute (or LLM inference) via search has emerged as a promising r,2,0.05573153495788574,-0.017770230770111084,0.9999999999999999,0.29545616696122745,0.35138048594381566,0.9999999999999999,0.39913490001345053,3.25,0.38938803332469735
16,"Background: There is great interest in agentic LLMs, large language models that ",4,0.02455580234527588,-0.010072529315948486,0.7999999999999999,0.31515317703230883,0.39087930553490075,1.0,1.5231407000101171,12.109375,1.5275669666589238
17,Although instruction-tuned large language models (LLMs) have exhibited remarkabl,2,0.07749927043914795,-0.011921525001525879,0.9999999999999999,0.8610927407287038,1.0236948833293305,0.9999999999999999,0.29767960001481697,2.3125,0.29119496668378514
18,"We study how to watermark LLM outputs, i.e. embedding algorithmically detectable",8,0.004529356956481934,-0.0058397650718688965,0.6904761904761906,0.430486695575302,0.5350481879906421,1.0,16.198841899982654,129.171875,16.3536987999881
19,"Modern IR systems are increasingly tasked with answering complex, multi-faceted ",4,-0.008795499801635742,-0.0048386454582214355,0.7999999999999999,0.5534207295642096,0.6940119440829142,1.0,2.070877299993299,16.578125,2.071230666653719
20,Codebooks -- documents that operationalize concepts and outline annotation proce,5,-0.008481323719024658,-0.012376129627227783,-0.3,0.48687984646798893,0.5604947604191475,0.9999999999999999,3.6868061000132,29.34375,3.6264154666569084
21,"LLM ensembles are widely used for LLM judges. However, how to estimate their acc",4,-0.0014684796333312988,0.010322034358978271,0.6000000000000001,0.4878879357045487,0.5202545048555748,1.0,2.2118326000054367,17.484375,2.0858244999932745
22,Rapid advancements in large language models (LLMs) have the potential to assist ,4,0.06467807292938232,-0.021932125091552734,1.0,0.3721556480657817,0.4409068642185359,1.0,1.6806298000155948,13.296875,1.6754203333402984
23,"Large language models (LLMs) perform strongly on biological benchmarks, raising ",6,0.03760027885437012,-0.016938328742980957,0.7142857142857143,0.2873209417145554,0.4015314454423459,1.0,4.376347100012936,34.8125,4.3550470333429985
24,This paper shifts focus to the often-overlooked input embeddings - the initial r,5,0.011085212230682373,-0.00927114486694336,0.39999999999999997,0.8244524628307148,0.8275201629919955,0.9999999999999999,2.619256799982395,20.875,2.6418914666670994
25,Standard simulations of the Iterated Prisoners Dilemma (IPD) operate in determin,3,0.03229057788848877,0.003113687038421631,0.5,0.3417776979528258,0.4250377773388428,1.0,1.160543999983929,9.171875,1.18057090001336
26,Large Language Models (LLMs) are increasingly used in decision-making scenarios ,3,0.03749889135360718,-0.016688048839569092,1.0,0.46775172415491034,0.4968474920561458,1.0,0.6999420000356622,5.609375,0.6945563333380657
27,"Large Language Models (LLMs), such as the GPT series, have driven significant in",5,0.04371285438537598,0.005080163478851318,0.09999999999999999,0.25806319838440606,0.3633338716335495,0.9999999999999999,2.405735599983018,19.203125,2.4298936333313272
28,Large language models (LLMs) have achieved remarkable success in natural languag,4,0.05481517314910889,-0.016833901405334473,1.0,0.19859071271252826,0.3566130759102474,1.0,1.5440588999772444,12.265625,1.5329996999935247
29,One critical challenge in the institutional adoption journey of Large Language M,3,-0.006294608116149902,0.053050994873046875,0.5,0.6045949757517483,0.6109679143101626,1.0,0.6283398999948986,4.984375,0.6309378333195733
30,"Recently, Large Language Models (LLMs) have made significant advancements and ar",4,0.03333139419555664,-0.014933466911315918,0.39999999999999997,0.386177358620762,0.4366482699298707,1.0,1.5199403999722563,12.09375,1.5234175666701049
31,Large language models (LLMs) have shown great potential in natural language proc,3,0.039803385734558105,-0.017052173614501953,1.0,0.3583687254078134,0.41445408679866175,1.0,0.6321914999862202,4.984375,0.6339097333451112
32,Large Language Model (LLM) based coding tools have been tremendously successful ,4,0.013426065444946289,0.09056097269058228,0.39999999999999997,0.28287397708621836,0.40095792580379414,1.0,1.4472056000377052,11.46875,1.4460734666596788
33,"Despite the rapid advancement of LLM-based agents, the reliable evaluation of th",5,0.008174717426300049,-0.009070932865142822,0.7999999999999999,0.44295884407397096,0.4778418163425698,0.9999999999999999,3.378545099985786,26.796875,3.39006863332664
34,Wav2Prompt is proposed which allows straightforward integration between spoken i,6,0.015153586864471436,-0.031379640102386475,0.8285714285714287,0.23365672814392627,0.34932045125592265,1.0,7.265959099982865,57.78125,7.268200366660797
35,This paper introduces a vision of confidential prompting: securing user prompts ,6,0.061889708042144775,-0.020572543144226074,0.7142857142857143,0.2721080244902816,0.3631056792565097,1.0,5.7008066000416875,45.34375,5.675102333344209
36,Research on emergency and mass casualty incident (MCI) triage has been limited b,3,0.007063865661621094,0.045044004917144775,0.5,0.4769213689384359,0.5155461842607204,1.0,0.7320575999910943,5.953125,0.7117716000066139
37,Large language models (LLMs) have shown potential as general evaluators along wi,4,0.04711651802062988,-0.02986389398574829,0.19999999999999998,0.32329085487328346,0.3972019567906389,1.0,1.5431932000210509,12.34375,1.5412716333327505
38,[Abridged abstract] Large Language Models (LLMs) can solve some undergraduate-le,5,0.05327385663986206,-0.0032715201377868652,0.3,0.3366786038149656,0.4001451131399235,0.9999999999999999,3.093046299996786,24.5625,3.044654333323706
39,"This position paper argues that in many realistic (i.e., complex, contextualized",5,0.0015752911567687988,0.020329833030700684,0.49999999999999994,0.2380010982301773,0.37877355659105993,0.9999999999999999,2.4963155000004917,19.9375,2.4952485333390846
40,Watermarking approaches are proposed to identify if text being circulated is hum,4,0.006078660488128662,0.0014797449111938477,0.7999999999999999,0.850485551404063,0.9085332599134385,1.0,1.2904725999687798,10.3125,1.2906953000153105
41,"Phishing websites remain a major cybersecurity threat, exploiting deceptive stru",3,0.00965970754623413,0.0019888877868652344,1.0,0.4838546936681591,0.5108863984295717,1.0,0.6618459000019357,5.21875,0.6601069999936348
42,"LLMs hallucinate, yet some confabulations can have social affordances if careful",3,0.0005903244018554688,0.08756554126739502,0.5,0.5260176622781061,0.5451321802139715,1.0,0.8253395999781787,6.46875,0.818093533317248
43,"Generative AI, including large language models (LLMs) have the potential -- and ",7,0.06000804901123047,-0.026330649852752686,-0.03571428571428572,0.21323824572447275,0.3185083321679618,1.0,8.050914300023578,64.03125,8.034175666650603
44,Large language models (LLMs) have demonstrated remarkable performance and tremen,3,0.0570339560508728,-0.008217871189117432,1.0,0.4023304184128626,0.444421784150582,1.0,0.7700031000422314,6.046875,0.7705153999850154
